	id	title	original_air_date	production_code	season	number_in_season	number_in_series	us_viewers_in_millions	views	imdb_rating	imdb_votes	image_url	video_url
328	190	Bart Carny	1998-01-11	5F08	9	12	190	11.7	22426.0	7.7	938.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/23/107/Simpsons_BartCarny.jpg	http://www.simpsonsworld.com/video/302818371931
329	195	Lisa the Simpson	1998-03-08	4F24	9	17	195	10.4	21608.0	8.0	957.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/74/611/Simpsons_09_05.jpg	http://www.simpsonsworld.com/video/299651139676
330	146	The Day the Violence Died	1996-03-17	3F16	7	18	146	14.4	57809.0	8.0	1016.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/974/935/Simpsons_07_18.jpg	http://www.simpsonsworld.com/video/301668931982
358	148	Bart on the Road	1996-03-31	3F17	7	20	148	11.8	70913.0	8.6	1110.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1001/35/Simpsons_07_19.jpg	http://www.simpsonsworld.com/video/277000259951
385	165	Mountain of Madness	1997-02-02	4F10	8	12	165	9.1	60763.0	8.6	1137.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/313/723/Simpsons_08_14.jpg	http://www.simpsonsworld.com/video/436267075791
412	194	Dumbbell Indemnity	1998-03-01	5F12	9	16	194	10.3	21214.0	7.6	887.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/422/899/Simpsons_09_17.jpg	http://www.simpsonsworld.com/video/283910211639
523	31	Brush with Greatness	1991-04-11	7F18	2	18	31	20.6	58561.0	8.0	1257.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/381/719/brush_w_greatness.jpg	http://www.simpsonsworld.com/video/272055875843
524	45	Flaming Moe's	1991-11-21	8F08	3	10	45	23.9	58968.0	8.8	1618.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/688/495/FlamingMoes.jpg	http://www.simpsonsworld.com/video/305663555961
525	5	Bart the General	1990-02-04	7G05	1	5	5	27.1	63129.0	8.1	1732.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/274/735/Simpsons_01_05.jpg	http://www.simpsonsworld.com/video/300934723994
526	59	Brother, Can You Spare Two Dimes?	1992-08-27	8F23	3	24	59	17.2	50936.0	8.2	1227.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/954/11/BrotherCanYouSpare.jpg	http://www.simpsonsworld.com/video/279098435798
527	62	Homer the Heretic	1992-10-08	9F01	4	3	62	19.3	64605.0	9.0	1747.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/991/623/Simpsons_04_03.jpg	http://www.simpsonsworld.com/video/279137859827
528	83	Cape Feare	1993-10-07	9F22	5	2	83	20.0	65585.0	9.0	2010.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/699/231/Simpsons_05_02__845470.jpg	http://www.simpsonsworld.com/video/305674819788
529	88	Bart's Inner Child	1993-11-11	1F05	5	7	88	18.7	74139.0	7.7	1085.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/310/695/Simpsons_05_07.jpg	http://www.simpsonsworld.com/video/275202627817
530	96	Deep Space Homer	1994-02-24	1F13	5	15	96	18.2	75439.0	8.8	1505.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/804/339/Simpsons_05_15__481014.jpg	http://www.simpsonsworld.com/video/275720259883
531	100	Sweet Seymour Skinner's Baadasssss Song	1994-04-28	1F18	5	19	100	19.7	66406.0	8.4	1118.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_19.jpg	http://www.simpsonsworld.com/video/274260035741
532	101	The Boy Who Knew Too Much	1994-05-05	1F19	5	20	101	15.5	74427.0	8.2	1103.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/665/947/Simpsons_05_20.jpg	http://www.simpsonsworld.com/video/278796355962
533	109	Treehouse of Horror V	1994-10-30	2F03	6	6	109	22.2	119295.0	9.0	1690.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/23/835/Simpsons_06_05.jpg	http://www.simpsonsworld.com/video/299597891663
534	128	Who Shot Mr. Burns? (Part One)	1995-05-21	2F16	6	25	128	15.0	86070.0	9.1	1619.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/550/567/Simpsons_06_18.jpg	http://www.simpsonsworld.com/video/294781507859
535	155	You Only Move Twice	1996-11-03	3F23	8	2	155	13.9	79609.0	9.2	2439.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/357/863/Simpsons_08_01__547424.jpg	http://www.simpsonsworld.com/video/306390595776
536	162	El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)	1997-01-05	3F24	8	9	162	14.9	64743.0	8.5	1383.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/300/35/Simpsons_08_02.jpg	http://www.simpsonsworld.com/video/436252739905
537	176	Homer's Enemy	1997-05-04	4F19	8	23	176	11.8	74177.0	9.2	2256.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/504/139/Simpsons_08_23__999359.jpg	http://www.simpsonsworld.com/video/436466755640
538	182	Treehouse of Horror VIII	1997-10-26	5F02	9	4	182	10.9	30963.0	8.1	1019.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/879/Simpsons_09_07__865868.jpg	http://www.simpsonsworld.com/video/279170627965
539	185	The Two Mrs. Nahasapeemapetilons	1997-11-16	5F04	9	7	185	11.4	19419.0	7.7	905.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/5/210/Simpsons_09_09.jpg	http://www.simpsonsworld.com/video/279177283545
550	3	Homer's Odyssey	1990-01-21	7G03	1	3	3	27.5	78072.0	7.5	1709.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/621/883/Simpsons_01_03.jpg	http://www.simpsonsworld.com/video/273381443699
